Males	Females	Sequences	P	Signif
29	5	4	1.33047e-08	True
29	6	1	5.27244e-08	True
29	7	3	1.93416e-07	False
29	8	2	6.60812e-07	False
29	9	0	2.11401e-06	False
29	10	7	6.36302e-06	False
29	11	0	1.80968e-05	False
29	12	1	4.88169e-05	False
29	13	1	0.000125324	False
29	14	4	0.000307108	False
29	15	4	0.000720225	False
29	16	13	0.00162012	False
29	17	12	0.00350234	False
29	18	3	0.00728738	False
29	19	21	0.0146116	False
29	20	43	0.0282534	False
29	21	87	0.0526994	False
29	22	103	0.094793	False
29	23	123	0.164261	False
29	24	132	0.273669	False
29	25	242	0.436964	False
29	26	324	0.665375	False
29	27	403	0.959395	False
29	28	608	1	False
29	29	674	1	False
29	30	801	0.622628	False
30	0	0	6.00409e-13	True
30	1	0	4.00247e-12	True
30	2	0	2.37227e-11	True
30	3	0	1.26349e-10	True
30	4	0	6.10422e-10	True
30	5	0	2.69743e-09	True
30	6	0	1.09836e-08	True
30	7	0	4.14829e-08	True
30	8	0	1.46178e-07	False
30	9	0	4.83132e-07	False
30	10	0	1.50479e-06	False
30	11	1	4.43565e-06	False
30	12	3	1.24213e-05	False
30	13	0	3.31585e-05	False
30	14	2	8.46417e-05	False
30	15	1	0.000207175	False
30	16	10	0.000487445	False
30	17	1	0.00110483	False
30	18	14	0.00241697	False
30	19	5	0.00511155	False
30	20	12	0.0104641	False
30	21	44	0.0207552	False
30	22	58	0.0399068	False
30	23	72	0.0743774	False
30	24	134	0.134263	False
30	25	159	0.234287	False
30	26	313	0.393771	False
30	27	669	0.6334	False
30	28	715	0.964589	False
30	29	1002	1	False
30	30	1708	1	False
31	0	0	9.9809e-14	True
31	1	0	6.71463e-13	True
31	2	0	4.031e-12	True
31	3	0	2.18153e-11	True
31	4	0	1.07377e-10	True
31	5	0	4.84529e-10	True
31	6	0	2.01865e-09	True
31	7	0	7.81447e-09	True
31	8	0	2.82689e-08	True
31	9	0	9.6056e-08	True
31	10	0	3.08008e-07	False
31	11	0	9.35943e-07	False
31	12	0	2.70549e-06	False
31	13	0	7.4656e-06	False
31	14	0	1.97281e-05	False
31	15	0	5.00688e-05	False
31	16	0	0.000122369	False
31	17	1	0.000288705	False
31	18	1	0.000659014	False
31	19	0	0.00145843	False
31	20	1	0.00313503	False
31	21	15	0.00655702	False
31	22	8	0.0133641	False
31	23	21	0.026577	False
31	24	49	0.0516223	False
31	25	72	0.0979889	False
31	26	223	0.181729	False
31	27	410	0.32872	False
31	28	761	0.577017	False
31	29	2277	0.970033	False
31	30	31257	1	False
